spay_neuter,zip_code,year,month,day,day_of_week,bronx,brooklyn,manhattan,queens,staten_island,pit_bull,other,shih_tzu,chihuahua,german_shepherd,labrador_retriever,bull_dog,yorkshire_terrier,maltese,standard_poodle,husky
False,11208,2018,3,23,4,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11208,2018,3,25,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11221,2018,3,28,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11237,2018,3,29,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11226,2018,3,30,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,11208,2018,4,1,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11215,2018,3,31,5,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,11208,2018,4,4,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11234,2018,3,31,5,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,11214,2018,3,31,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,11207,2018,4,4,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11207,2018,4,4,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11237,2018,4,3,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11237,2018,4,4,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11216,2018,3,29,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11216,2018,4,4,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11249,2018,4,8,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11249,2018,4,8,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11207,2018,4,7,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,4,8,6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,11211,2018,4,8,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11201,2018,4,9,0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
True,11221,2018,4,9,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,11218,2018,3,31,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11208,2018,4,7,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11238,2018,4,8,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11238,2018,4,9,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,11208,2018,4,10,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11236,2018,4,10,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11223,2018,4,10,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,11218,2018,4,2,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11221,2018,4,8,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,11208,2018,4,7,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11230,2018,4,7,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11234,2018,4,14,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11249,2018,4,16,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11208,2018,4,16,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11231,2018,4,15,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11217,2018,4,12,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11201,2018,4,10,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,11207,2018,4,18,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11236,2018,4,18,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11236,2018,4,18,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,4,18,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,11206,2018,4,19,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11231,2018,4,21,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11229,2018,4,23,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11233,2018,4,19,3,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,11208,2018,4,23,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11220,2018,4,21,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11238,2018,4,21,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11230,2018,4,23,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,11226,2018,4,24,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,11209,2018,4,24,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11214,2018,4,18,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,4,23,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11206,2018,4,24,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11208,2018,4,24,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11221,2018,4,18,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,11233,2018,4,25,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11238,2018,4,26,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11210,2018,4,2,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,11233,2018,4,29,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11203,2018,4,27,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11204,2018,4,25,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11230,2018,5,1,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,11232,2018,4,29,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,5,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,4,14,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11230,2018,5,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11220,2018,5,2,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11213,2018,5,2,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11222,2018,5,2,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,11215,2018,4,27,4,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11234,2018,5,3,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11224,2018,5,7,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11204,2018,5,5,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,11220,2018,5,5,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11214,2018,5,4,4,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
