date_of_bite,year,month,day,day_of_week,borough,zip_code,latitude,longitude,spay_neuter,mixed/other,pit_bull,german_shepherd,shih_tzu,chihuahua,yorkshire_terrier,bull_dog,labrador_retriever,maltese,husky,standard_poodle,cluster
2018-02-21,2018,2,21,2,brooklyn,11219,40.63262,-73.99677,False,False,False,True,False,False,False,False,False,False,False,False,0
2018-03-04,2018,3,4,6,brooklyn,11236,40.639413,-73.900664,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-22,2018,2,22,3,brooklyn,11212,40.662905,-73.913071,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-11,2018,3,11,6,brooklyn,11234,40.607723,-73.910649,True,False,True,False,False,False,False,False,False,False,False,False,0
2018-03-12,2018,3,12,0,brooklyn,11219,40.63262,-73.99677,False,False,False,False,False,False,False,False,False,False,True,False,0
2018-03-11,2018,3,11,6,brooklyn,11231,40.677916,-74.005154,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-03-09,2018,3,9,4,brooklyn,11222,40.72779,-73.947605,False,False,False,False,False,False,False,False,True,False,False,False,0
2018-03-15,2018,3,15,3,brooklyn,11220,40.641026,-74.016688,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-17,2018,3,17,5,brooklyn,11229,40.601293,-73.944493,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-17,2018,3,17,5,brooklyn,11206,40.70187,-73.942552,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-17,2018,3,17,5,brooklyn,11223,40.597091,-73.973469,True,False,False,False,False,False,False,False,True,False,False,False,0
2018-03-18,2018,3,18,6,brooklyn,11216,40.680844,-73.949222,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-03-18,2018,3,18,6,brooklyn,11211,40.714084,-73.945168,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-18,2018,3,18,6,brooklyn,11208,40.674847,-73.87248,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-17,2018,3,17,5,brooklyn,11203,40.649569,-73.934327,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-11,2018,3,11,6,brooklyn,11206,40.70187,-73.942552,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-20,2018,3,20,1,brooklyn,11209,40.621803,-74.03015,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-22,2018,3,22,3,brooklyn,11215,40.662688,-73.98674,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-17,2018,3,17,5,brooklyn,11238,40.671331,-73.965937,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-21,2018,3,21,2,brooklyn,11216,40.680844,-73.949222,False,False,False,False,False,False,False,False,False,True,False,False,0
2018-03-11,2018,3,11,6,brooklyn,11226,40.646409,-73.956663,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-26,2018,3,26,0,brooklyn,11225,40.663119,-73.953867,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-22,2018,3,22,3,brooklyn,11204,40.618815,-73.984942,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-25,2018,3,25,6,brooklyn,11215,40.662688,-73.98674,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-23,2018,3,23,4,brooklyn,11218,40.64312,-73.976446,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-26,2018,3,26,0,brooklyn,11207,40.670157,-73.893835,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-03-23,2018,3,23,4,brooklyn,11209,40.621803,-74.03015,False,False,False,False,True,False,False,False,False,False,False,False,0
2018-03-26,2018,3,26,0,brooklyn,11207,40.670157,-73.893835,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-03-28,2018,3,28,2,brooklyn,11221,40.691426,-73.927626,True,False,True,False,False,False,False,False,False,False,False,False,0
2018-03-29,2018,3,29,3,brooklyn,11237,40.70416,-73.921139,False,False,False,False,True,False,False,False,False,False,False,False,0
2018-03-30,2018,3,30,4,brooklyn,11226,40.646409,-73.956663,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-31,2018,3,31,5,brooklyn,11215,40.662688,-73.98674,True,False,False,False,False,False,False,False,False,True,False,False,0
2018-04-04,2018,4,4,2,brooklyn,11208,40.674847,-73.87248,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-31,2018,3,31,5,brooklyn,11234,40.607723,-73.910649,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-31,2018,3,31,5,brooklyn,11214,40.59969,-73.996372,False,False,False,False,False,False,False,False,False,False,True,False,0
2018-04-04,2018,4,4,2,brooklyn,11207,40.670157,-73.893835,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-04,2018,4,4,2,brooklyn,11207,40.670157,-73.893835,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-03,2018,4,3,1,brooklyn,11237,40.70416,-73.921139,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-04,2018,4,4,2,brooklyn,11237,40.70416,-73.921139,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-29,2018,3,29,3,brooklyn,11216,40.680844,-73.949222,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-04,2018,4,4,2,brooklyn,11216,40.680844,-73.949222,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-08,2018,4,8,6,brooklyn,11249,40.704501,-73.966002,False,True,False,False,False,False,False,False,False,False,False,False,0
